bt_mac_scanner;bt_mac_discovered;timestamp;discoveryTime 
3af792901928260d69a2d5a284a8ee23;402578ef84e9223d00ef2a4fc167fe87;"2012-07-05 12:31:27";38 
f9b58c8ef39ad0da343027df388d58c2;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:33:11";28 
a0a01441b945a253fd479ea531292bac;7d0b6fb8e8627c16c4df6ad0930d7ec5;"2012-07-05 12:34:08";37 
a0a01441b945a253fd479ea531292bac;5e8f387ce821a1d9522b5a087fdade7f;"2012-07-05 12:34:08";37 
ff1857a26104cf0a28145763e67facc3;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:34:36";10 
938b4a1742b8f37eed1428f3003f4f71;7a51537ca4d1a78a791140bd82335cdf;"2012-07-05 12:35:26";65 
938b4a1742b8f37eed1428f3003f4f71;90eba4b952015de12d623199fca1baf6;"2012-07-05 12:35:26";65 
938b4a1742b8f37eed1428f3003f4f71;8ff179113afc8c75736e37af95eb1ba2;"2012-07-05 12:35:26";65 
938b4a1742b8f37eed1428f3003f4f71;436130ed668cc8e1c1c29ce7ca020f4e;"2012-07-05 12:35:26";65 
938b4a1742b8f37eed1428f3003f4f71;c2a61629a824b48f1dcc9f062337e819;"2012-07-05 12:35:26";65 
938b4a1742b8f37eed1428f3003f4f71;79b31ab49b2bbb422560afaf9401ed0a;"2012-07-05 12:35:26";65 
938b4a1742b8f37eed1428f3003f4f71;1de9481b5702a7968773430b3ff6700e;"2012-07-05 12:35:26";65 
938b4a1742b8f37eed1428f3003f4f71;d85965a4e00b3350279ba67ed69fed75;"2012-07-05 12:35:26";65 
938b4a1742b8f37eed1428f3003f4f71;6d52fee548ea5de22b624421c151bc39;"2012-07-05 12:35:26";65 
938b4a1742b8f37eed1428f3003f4f71;774565f35705e3ec811f127f51b82690;"2012-07-05 12:35:26";65 
9fb011524993c741c20ab05910eefc7f;ddda9fd480e811b783f06960091cad51;"2012-07-05 12:36:56";22 
9fb011524993c741c20ab05910eefc7f;70627e2a3ae5d5fd619f2c4015629727;"2012-07-05 12:36:56";22 
9fb011524993c741c20ab05910eefc7f;9f2baffba060072e12048a0161db7942;"2012-07-05 12:36:56";22 
9fb011524993c741c20ab05910eefc7f;a9ab90d421fa9072c9b439b2184db800;"2012-07-05 12:36:56";22 
74631fcad6dce90ce3afe3e268de9c16;15edd87356e8d5c475a8c492ec3ee775;"2012-07-05 12:38:03";55 
74631fcad6dce90ce3afe3e268de9c16;c65d560864dce7b5945fabe153abf9b8;"2012-07-05 12:38:03";55 
5488e17db9e015b67c541653c5adbf1d;3f5693d1b8d4ac603d70fabf07846425;"2012-07-05 12:38:13";21 
5488e17db9e015b67c541653c5adbf1d;981330bbb5afb598fd326cc90848eef6;"2012-07-05 12:38:13";21 
3af792901928260d69a2d5a284a8ee23;402578ef84e9223d00ef2a4fc167fe87;"2012-07-05 12:39:14";37 
f9b58c8ef39ad0da343027df388d58c2;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:42:47";35 
938b4a1742b8f37eed1428f3003f4f71;78c88d92f36712bdcf7c84e06279275c;"2012-07-05 12:45:43";103 
938b4a1742b8f37eed1428f3003f4f71;01a14a922cd5b330cdcf369d282647c7;"2012-07-05 12:45:43";103 
ff1857a26104cf0a28145763e67facc3;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:46:42";20 
ff1857a26104cf0a28145763e67facc3;465fcd5d27781cdd0d4e1eb13cab1576;"2012-07-05 12:46:42";20 
3af792901928260d69a2d5a284a8ee23;402578ef84e9223d00ef2a4fc167fe87;"2012-07-05 12:46:51";37 
74631fcad6dce90ce3afe3e268de9c16;38e95ca2042e8bfb20fa441bc8a48b4e;"2012-07-05 12:47:04";36 
74631fcad6dce90ce3afe3e268de9c16;0d9998576739680cbd81d42d3b866b8f;"2012-07-05 12:47:04";36 
74631fcad6dce90ce3afe3e268de9c16;d7132973e43115c1e92dd7139fe57770;"2012-07-05 12:47:04";36 
f9b58c8ef39ad0da343027df388d58c2;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:48:47";29 
9fb011524993c741c20ab05910eefc7f;3a4539497eb51cc964939eab6b13af46;"2012-07-05 12:48:56";39 
9fb011524993c741c20ab05910eefc7f;11b26590cddbdc8a28e9e9058b4ec992;"2012-07-05 12:48:56";39 
9fb011524993c741c20ab05910eefc7f;0f6eb0058f94fab12a44206b93d6765d;"2012-07-05 12:48:56";39 
9fb011524993c741c20ab05910eefc7f;a09d15ce29209101888e24b2ef3ab8ec;"2012-07-05 12:48:56";39 
5488e17db9e015b67c541653c5adbf1d;3f5693d1b8d4ac603d70fabf07846425;"2012-07-05 12:49:16";21 
5488e17db9e015b67c541653c5adbf1d;981330bbb5afb598fd326cc90848eef6;"2012-07-05 12:49:16";21 
938b4a1742b8f37eed1428f3003f4f71;a3c506cf9b8b34947ae2ae908e12043e;"2012-07-05 12:54:48";39 
938b4a1742b8f37eed1428f3003f4f71;38e95ca2042e8bfb20fa441bc8a48b4e;"2012-07-05 12:54:48";39 
938b4a1742b8f37eed1428f3003f4f71;8ff244524960cb4f04de83ad78719249;"2012-07-05 12:54:48";39 
3af792901928260d69a2d5a284a8ee23;402578ef84e9223d00ef2a4fc167fe87;"2012-07-05 12:55:01";49 
a0a01441b945a253fd479ea531292bac;a0725522078c9357f8fcb7493ced61d7;"2012-07-05 12:55:03";39 
a0a01441b945a253fd479ea531292bac;9d064653306cf8677e5ae35aa6e28d34;"2012-07-05 12:55:03";39 
f9b58c8ef39ad0da343027df388d58c2;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:58:24";32 
ff1857a26104cf0a28145763e67facc3;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:58:34";20 
74631fcad6dce90ce3afe3e268de9c16;520e246607dd91ebc3b52dfe8e4c2ffa;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;a4cea81ac98231abb4bf301becb080a6;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;2d2101b54e2053d2f15dfdf89dc6c107;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;a7838faa3659ba978b855a25a3443c36;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;861fc0623ad288ed97f2b7e5595252d9;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;8a5d21b7da791b63b45e9e94497d7f60;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;49015b7dd7684f94ed088ac8b31ebc1f;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;4c48518650b3f1c4e459685cc3a3a4ae;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;f90c7acccf453a2a2e7b7eb2fc076205;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;02675a35ae46e18e2ce7b2227073dd12;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;7e631b09eec056186a0d009bd15e63d8;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;be18879224aff1009c6960b11f03a830;"2012-07-05 12:59:01";120 
74631fcad6dce90ce3afe3e268de9c16;4b0e79bbda3ea3fa4c1b3ff92d240c7e;"2012-07-05 12:59:01";120 
5488e17db9e015b67c541653c5adbf1d;981330bbb5afb598fd326cc90848eef6;"2012-07-05 13:00:21";22 
938b4a1742b8f37eed1428f3003f4f71;e5a04d9918517968d55119b781443caf;"2012-07-05 13:03:29";70 
938b4a1742b8f37eed1428f3003f4f71;f8e5f30791884a0b47597d5f74ed9324;"2012-07-05 13:03:29";70 
938b4a1742b8f37eed1428f3003f4f71;4e16937a11a488853360c92db5c6e5ee;"2012-07-05 13:03:29";70 
938b4a1742b8f37eed1428f3003f4f71;98017d4bbfb5e1cc2036d49e3292be77;"2012-07-05 13:03:29";70 
3af792901928260d69a2d5a284a8ee23;402578ef84e9223d00ef2a4fc167fe87;"2012-07-05 13:03:54";38 
a0a01441b945a253fd479ea531292bac;a0725522078c9357f8fcb7493ced61d7;"2012-07-05 13:04:39";30 
74631fcad6dce90ce3afe3e268de9c16;2d2101b54e2053d2f15dfdf89dc6c107;"2012-07-05 13:09:02";105 
74631fcad6dce90ce3afe3e268de9c16;a7838faa3659ba978b855a25a3443c36;"2012-07-05 13:09:02";105 
74631fcad6dce90ce3afe3e268de9c16;861fc0623ad288ed97f2b7e5595252d9;"2012-07-05 13:09:02";105 
74631fcad6dce90ce3afe3e268de9c16;8a5d21b7da791b63b45e9e94497d7f60;"2012-07-05 13:09:02";105 
74631fcad6dce90ce3afe3e268de9c16;4c48518650b3f1c4e459685cc3a3a4ae;"2012-07-05 13:09:02";105 
